Cluster,1,2,3,1_Pct,2_Pct,3_Pct
1,18,27,2,38.297872340425535,57.446808510638306,4.25531914893617
2,27,34,0,44.26229508196721,55.73770491803278,0.0
3,91,108,0,45.7286432160804,54.2713567839196,0.0
